train_data_end,train_data_start,horizon,sku,year_month,final_perdiction,Channel,forecast_month,NetWeight,H1,H2,H3,H4,H5,CrossPlantStatus,LeadTime,ServiceLevel,MrpPurchaser,PdProductDescription,ServiceLevel_value,Standard_Dev,Variability,last_year_demand
2024-05-01,2018-07-01,1,12225,2024-06,731.8699170862274,Export_Re-Export,2024-06,1.000,Dairy,Cream Compound,Cooking,Others,,AC,50,0.95,ENLIM,COOKING (CREAM ALTERNATIVE)/REDMAN 1KG,1.65,2077.155416268444,0.1518717073481136,905.0
2024-05-01,2018-07-01,2,12225,2024-07,731.8699170282047,Export_Re-Export,2024-07,1.000,Dairy,Cream Compound,Cooking,Others,,AC,50,0.95,ENLIM,COOKING (CREAM ALTERNATIVE)/REDMAN 1KG,1.65,2077.155416268444,0.1518717073481136,276.0
2024-05-01,2018-07-01,3,12225,2024-08,731.8699170552185,Export_Re-Export,2024-08,1.000,Dairy,Cream Compound,Cooking,Others,,AC,50,0.95,ENLIM,COOKING (CREAM ALTERNATIVE)/REDMAN 1KG,1.65,2077.155416268444,0.1518717073481136,588.0
2024-05-01,2018-07-01,4,12225,2024-09,731.8699170862274,Export_Re-Export,2024-09,1.000,Dairy,Cream Compound,Cooking,Others,,AC,50,0.95,ENLIM,COOKING (CREAM ALTERNATIVE)/REDMAN 1KG,1.65,2077.155416268444,0.1518717073481136,877.0
2024-05-01,2018-07-01,5,12225,2024-10,499.8591549295775,Export_Re-Export,2024-10,1.000,Dairy,Cream Compound,Cooking,Others,,AC,50,0.95,ENLIM,COOKING (CREAM ALTERNATIVE)/REDMAN 1KG,1.65,2077.155416268444,0.1518717073481136,582.0
2024-05-01,2018-07-01,6,12225,2024-11,499.8591549295775,Export_Re-Export,2024-11,1.000,Dairy,Cream Compound,Cooking,Others,,AC,50,0.95,ENLIM,COOKING (CREAM ALTERNATIVE)/REDMAN 1KG,1.65,2077.155416268444,0.1518717073481136,784.0
2024-05-01,2019-01-01,1,13887,2024-06,308.2047930855025,Export_Re-Export,2024-06,0.250,Dairy,Butter,Salted,Sweet Cream,,AC,113,0.95,ENLIM,BUTTER SALTED/GREENFIELDS 250G,1.65,2848.0702636463634,0.4168306233639455,
2024-05-01,2019-01-01,2,13887,2024-07,449.2102288805176,Export_Re-Export,2024-07,0.250,Dairy,Butter,Salted,Sweet Cream,,AC,113,0.95,ENLIM,BUTTER SALTED/GREENFIELDS 250G,1.65,2848.0702636463634,0.4168306233639455,800.0
2024-05-01,2019-01-01,3,13887,2024-08,501.74310571386167,Export_Re-Export,2024-08,0.250,Dairy,Butter,Salted,Sweet Cream,,AC,113,0.95,ENLIM,BUTTER SALTED/GREENFIELDS 250G,1.65,2848.0702636463634,0.4168306233639455,
2024-05-01,2019-01-01,4,13887,2024-09,458.0327789555544,Export_Re-Export,2024-09,0.250,Dairy,Butter,Salted,Sweet Cream,,AC,113,0.95,ENLIM,BUTTER SALTED/GREENFIELDS 250G,1.65,2848.0702636463634,0.4168306233639455,80.0
2024-05-01,2019-01-01,5,13887,2024-10,556.7379066465347,Export_Re-Export,2024-10,0.250,Dairy,Butter,Salted,Sweet Cream,,AC,113,0.95,ENLIM,BUTTER SALTED/GREENFIELDS 250G,1.65,2848.0702636463634,0.4168306233639455,120.0
2024-05-01,2019-01-01,6,13887,2024-11,562.9155342609267,Export_Re-Export,2024-11,0.250,Dairy,Butter,Salted,Sweet Cream,,AC,113,0.95,ENLIM,BUTTER SALTED/GREENFIELDS 250G,1.65,2848.0702636463634,0.4168306233639455,
2024-05-01,2020-04-01,1,14427,2024-06,5.927376971004064,Export_Re-Export,2024-06,1.000,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER CONC 99.8%/SPECIAL CROISSANT 1KG,1.65,93.13364948645932,0.6156375560976951,
2024-05-01,2020-04-01,2,14427,2024-07,5.927376971004064,Export_Re-Export,2024-07,1.000,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER CONC 99.8%/SPECIAL CROISSANT 1KG,1.65,93.13364948645932,0.6156375560976951,
2024-05-01,2020-04-01,3,14427,2024-08,5.927376971004197,Export_Re-Export,2024-08,1.000,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER CONC 99.8%/SPECIAL CROISSANT 1KG,1.65,93.13364948645932,0.6156375560976951,
2024-05-01,2020-04-01,4,14427,2024-09,5.927376971004063,Export_Re-Export,2024-09,1.000,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER CONC 99.8%/SPECIAL CROISSANT 1KG,1.65,93.13364948645932,0.6156375560976951,200.0
